Name;Jahr;Sektor;Payout;PayoutVJ;Quote;ROA;FCFUE;lnUEWachs;lnInv;lnFKQ;lnCash;lnGK;lnUE;lnMK;lnAnalyst;Float;ARP;lnKBV;Abgeltung
INIT INNOVATION IN TRAFFIC S;2006;IT;0;0;0;0,077546;0,293150931;0,027156891;0,01041023;0,083717792;-1,223259663;3,52973717;3,508735525;4,362148518;0,693147181;0,548904383;1;1,425949924;0
INTEGRALIS AG;2006;IT;0;0;0;-0,03149;-0,006847007;0,25755348;0,017389196;0,020843262;-1,434368359;4,397370808;4,725172978;3,635333775;0,693147181;0,883089588;0;0,836732342;0
INTERSHOP COMMUNICATIONS AG;2006;IT;0;0;0;-0,167088;-0,48482464;0,012669403;0,008948122;0,217657329;-1,151804224;3,136797714;2,878748918;2,95767458;0,693147181;0,935067943;0;1,168614751;0
INTICA SYSTEMS AG;2006;IT;0;0;0;0,107207;-0,101501399;0,588112167;0,182443839;0,190596392;-2,764307438;3,199978388;3,556319019;4,656557831;0;0,903589744;0;2,055353693;0
ISRA VISION AG;2006;IT;0;0;0;0,089368;0,179716696;0,099937638;0,00672964;0;-2,439376854;4,208208818;3,799682632;4,575057866;1,386294361;0,689725852;0;0,698790293;0
ISRA VISION PARSYTEC AG;2006;Sonstige;0;0;0;0,04809;0,076360199;0,153404116;0,007053781;0,033039147;-0,760306511;3,418185595;3,352077163;3,683457482;0,693147181;0,545754717;1;0,529185716;0
ITELLIGENCE AG;2006;IT;0;0;0;0,060296;-0,003759993;0,05962365;0,05827128;0,15207968;-1,702878255;4,271053174;4,935164342;4,264790077;1,609437912;0,791950826;0;0,995990225;0
IVU TRAFFIC TECHNOLOGIES AG;2006;IT;0;0;0;0,069007;-0,044423108;0,155250075;0,011143773;0,139066918;-4,053964506;3,441475228;3,441859363;3,259516326;0;0,887995547;0;0,656624298;0
JAXX SE;2006;IT;0;0;0;0,040706;-0,163128644;0,216028701;0,123479694;0,037989186;-0,751369331;4,018273125;3,088858252;5,182425725;1,386294361;0,846384139;0;1,327769769;0
JENOPTIK AG;2006;IT;0;0;0;-0,0489;-0,065761722;0,083968836;0,023587592;0,228032381;-5,138743253;7,318708632;6,016442485;5,915947259;2,63905733;0,79369655;0;0,312242352;0
JERINI AG;2006;Sonstige;0;0;0;-0,224966;-0,724217359;0,396916002;0,020955099;0,005674867;-0,070749811;4,642880143;2,256645861;5,220034995;1,098612289;1;0;0,871263721;0
JUBII EUROPE NV;2006;IT;0;0;0;-0,110643;-0,236478813;-0,269677138;0,017845146;0,016975104;-0,960883187;5,145906007;4,372556938;5,312494347;0;0,306001062;0;0,976845738;0
JUNGHEINRICH - PRFD;2006;Industrials;1;1;0,004960936;0,038354;-0,000473599;0,071939193;0,028433111;0,322731116;-1,989363689;7,438464644;7,405405082;5,971478143;2,397895273;1;0;0,646012644;0
K+S AG;2006;Sonstige;1;1;0,027398469;0,079174;0,042292503;0,103588547;0,044065649;0,012981376;-3,418505628;7,722705847;7,942966178;7,899170595;2,833213344;0,899999443;1;1,051083945;0
KOENIG & BAUER AG;2006;Industrials;1;1;0,004001234;0,013574;0,08420728;0,130276225;0,027898275;0,14421722;-2,487919348;7,24150954;7,390798522;6,067900033;2,564949357;0,833980882;0;-0,036949703;0
KONTRON AG;2006;IT;1;0;0,016296217;0,048456;-0,010009953;0,136262784;0,043631669;0,11274548;-1,849064961;5,824175435;5,705118249;6,125262278;2,197224577;0,927952772;1;0,673020702;0
