"Index","price","return"
"2016-12-15","2016-12-15",26.7510299682617,0.00545446876459232
"2016-12-16","2016-12-16",26.7856750488281,0.00129425542313433
"2016-12-19","2016-12-19",26.9404239654541,0.00576067674427527
"2016-12-20","2016-12-20",27.0120182037354,0.00265397737067019
"2016-12-21","2016-12-21",27.0374317169189,0.000940380155342702
"2016-12-22","2016-12-22",26.8595809936523,-0.00659967444784471
"2016-12-23","2016-12-23",26.9127063751221,0.00197593970256094
"2016-12-27","2016-12-27",27.083625793457,0.0063307999757436
"2016-12-28","2016-12-28",26.9681415557861,-0.00427310406513026
"2016-12-29","2016-12-29",26.9612083435059,-0.000257122043241687
"2016-12-30","2016-12-30",26.7510299682617,-0.00782612881551037
"2017-01-03","2017-01-03",26.8272457122803,0.00284502606547621
"2017-01-04","2017-01-04",26.7972164154053,-0.00111998512702938
"2017-01-05","2017-01-05",26.9334945678711,0.00507264624623804
"2017-01-06","2017-01-06",27.2337532043457,0.011086467347353
"2017-01-09","2017-01-09",27.4832000732422,0.00911778094637272
"2017-01-10","2017-01-10",27.5109195709229,0.00100808959967136
"2017-01-11","2017-01-11",27.6587467193604,0.00535901382644566
"2017-01-12","2017-01-12",27.5432548522949,-0.00418434231683085
"2017-01-13","2017-01-13",27.4947490692139,-0.00176262917196546
"2017-01-17","2017-01-17",27.7164821624756,0.00803221664991582
"2017-01-18","2017-01-18",27.7141723632812,-8.33401378894649e-05
"2017-01-19","2017-01-19",27.6656742095947,-0.00175147347223747
"2017-01-20","2017-01-20",27.7164821624756,0.00183481361012694
"2017-01-23","2017-01-23",27.7349586486816,0.000666402409729816
"2017-01-24","2017-01-24",27.7095527648926,-0.000916443663021127
"2017-01-25","2017-01-25",28.1507110595703,0.015795395032149
"2017-01-26","2017-01-26",28.1645679473877,0.000492118243624162
"2017-01-27","2017-01-27",28.166877746582,8.20074531069359e-05
"2017-01-30","2017-01-30",28.0929622650146,-0.00262764785969827
"2017-01-31","2017-01-31",28.0282917022705,-0.00230467378390076
"2017-02-01","2017-02-01",29.7374782562256,0.0591937264535818
"2017-02-02","2017-02-02",29.6866683959961,-0.0017100749602359
"2017-02-03","2017-02-03",29.81369972229,0.00426994061779196
"2017-02-06","2017-02-06",30.0931739807129,0.00933035789142567
"2017-02-07","2017-02-07",30.3795757293701,0.00947216362419212
"2017-02-08","2017-02-08",30.4973640441895,0.00386972348627035
"2017-02-09","2017-02-09",30.7177429199219,0.00720017782357418
"2017-02-10","2017-02-10",30.6481456756592,-0.00226827234790106
"2017-02-13","2017-02-13",30.9195613861084,0.00881687760226946
"2017-02-14","2017-02-14",31.3208751678467,0.0128957753356795
"2017-02-15","2017-02-15",31.4345378875732,0.00362240764520916
"2017-02-16","2017-02-16",31.3974227905273,-0.0011814083457593
"2017-02-17","2017-02-17",31.4832401275635,0.00272953198437831
"2017-02-21","2017-02-21",31.7105884552002,0.00719530098421917
"2017-02-22","2017-02-22",31.805700302124,0.002994882726159
"2017-02-23","2017-02-23",31.6711463928223,-0.00423947054199525
"2017-02-24","2017-02-24",31.701301574707,0.000951681215663136
"2017-02-27","2017-02-27",31.7639389038086,0.00197391041039996
"2017-02-28","2017-02-28",31.7778453826904,0.000437711318937328
"2017-03-01","2017-03-01",32.427375793457,0.0202336370323999
"2017-03-02","2017-03-02",32.2348403930664,-0.00595513054592578
"2017-03-03","2017-03-03",32.4250526428223,0.00588348633177027
"2017-03-06","2017-03-06",32.3229904174805,-0.00315259906090937
"2017-03-07","2017-03-07",32.3647384643555,0.00129075648172705
"2017-03-08","2017-03-08",32.2441215515137,-0.00373376199297226
"2017-03-09","2017-03-09",32.1698760986328,-0.00230525936812276
"2017-03-10","2017-03-10",32.2765960693359,0.00331189791034436
"2017-03-13","2017-03-13",32.2905082702637,0.000430937744084758
"2017-03-14","2017-03-14",32.2418060302734,-0.00150939106289805
"2017-03-15","2017-03-15",32.5827980041504,0.0105205461440692
"2017-03-16","2017-03-16",32.6361503601074,0.00163610021922622
"2017-03-17","2017-03-17",32.4737663269043,-0.00498800730041538
"2017-03-20","2017-03-20",32.8147659301758,0.0104460214460977
"2017-03-21","2017-03-21",32.4389724731445,-0.011518040828892
"2017-03-22","2017-03-22",32.8054962158203,0.0112355148494458
